Kratica,PostnaStevilka,Kraj
CN,46146,Lleida
BR,49140,Euclides da Cunha
BO,69000,Aqtaū
MR,04500,Březí
BR,09600,Jilib
JO,38814,Boracéia
CN,14400,Olopa
BO,08098,Wangdain
PL,50000,Kadipaten
CN,40000,Varakļāni
ID,53320,Carcassonne
JO,72330,Baishan
SE,78100,Jardim
SE,31000,Kliwon Cibingbin
ID,86000,Budy
CN,05600,Vodnjan
BR,35061,Oslo
CN,00000,Changtan
CN,58030,Xin’e
BR,83000,Borova
CH,90000,Wolowiro
CN,27000,Altay
JO,00800,Sembung
CN,01900,Jaunpils
MR,95100,Rybnaya Sloboda
CH,23000,Barice
BO,20000,Moinhos
JO,41700,Trondheim
MR,60000,Mlaka pri Kranju
BO,69720,Sobral da Adiça
JO,56719,Devnya
CH,10973,Albuera
MR,11000,Emiliano Zapata
CN,63000,Pandanwangi
CN,03738,Melaka
BO,80000,Yanqian
JO,29860,Zaoshi
JO,63000,Longjumeau
JO,53000,Gangdong
MR,51000,Moorreesburg
CH,35810,Kota Kinabalu
ID,80000,Baganhilir
PL,50000,Sviblovo
BR,93800,Aniso
SE,10000,Zamora
ID,90000,San Juan
BR,55264,Nārang
CN,40000,Tenja
SE,56290,Sugihwaras
SE,15500,Zarya
CH,70000,Sa‘sa‘
BR,10000,Knin
CN,57000,Boshof
JO,95000,Slobozia
MR,30000,Borås
JO,59900,Storuman
JO,40000,N'Djamena
CN,12000,Seaton
PL,53000,Santa Cruz
PL,97880,Taraz
BO,23730,Zevenaar
ID,48100,Sarrat
PL,01732,Dengjiang
ID,16818,Cuijiaqiao
MR,15000,Richards Bay
SE,25890,Arbais
MR,54670,Kolpny
BO,96650,Shuhong
CN,87235,Banqiao
ID,74600,Setono
BO,90000,Jaba‘
CH,75600,Banyutengah
MR,79000,Cerklje na Gorenjskem
BO,91250,Tiko
CH,80000,South River
JO,11390,Unidad
MR,80000,‘Abbāsābād
SE,77300,Josefina
ID,43000,Richibucto
CN,71000,Shiquan
ID,42700,Beiwucha
PL,24317,Łubniany
BR,36570,Fredericton
MR,08150,Maogang
CH,70000,Munduk
ID,08200,Jianfeng
CH,30000,Ramanavichy
JO,47700,Bojonggaling
BO,91220,Salta
ID,20530,Kiambu
ID,81971,Al Manşūrah
CN,53050,Guebwiller
MR,20000,Brooklyn
SE,14150,Duancun
ID,14849,Esquipulas Palo Gordo
JO,23910,Casal
CN,10000,Dayangqi
BR,52000,Baylo
BR,10000,Nakhon Phanom
PL,58000,Wolofeo
